1-cysPrx_C	80,189,172
7TM_GPCR_Srw	216,66,173
7TM_GPCR_Srx	81,188,174
7TM_GPCR_Srz	174,208,99
7TM_GPCR_Str	74,183,52
7TM_transglut	63,138,218
7kD_DNA_binding	78,180,196
7tm_1	121,60,178
7tm_2	220,95,72
7tm_3	196,55,111
7tm_4	186,106,214
7tm_6	180,71,103
7tm_7	94,205,138
8TM_micro	72,191,150
A-2_8-polyST	79,150,223
A1_Propeptide	169,76,211
A2L_zn_ribbon	206,92,88
A2M	90,119,221
A2M_BRD	84,142,186
A2M_recep	124,200,74
AAA	57,194,204
AAA-ATPase_like	118,68,225
AAA_10	78,227,218
AAA_11	202,54,99
AAA_12	128,64,192
AAA_13	102,211,211
AAA_14	77,222,177
AAA_15	97,193,64
AAA_16	186,102,77
AAA_17	217,172,75
AAA_18	77,199,166
AAA_19	80,199,91
AAA_2	132,215,72
AAA_21	215,121,101
AAA_22	174,224,73
AAA_23	194,173,75
AAA_24	192,72,160
AAA_25	81,83,185
AAA_26	93,118,228
AAA_27	52,195,165
AAA_28	64,192,136
AAA_29	59,56,189
AAA_3	225,222,92
AAA_30	127,205,82
AAA_31	144,187,62
AAA_32	96,115,197
AAA_33	83,141,224
AAA_34	95,222,188
AAA_35	93,208,220
AAA_5	216,227,88
AAA_6	196,83,151
AAA_7	142,86,222
AAA_8	83,222,78
AAA_9	70,138,179
AAA_PrkA	58,120,221
AAA_assoc	89,209,82
AAA_assoc_2	133,190,52
AAA_assoc_C	74,193,198
AAA_lid_1	83,228,205
AAA_lid_10	79,215,207
AAA_lid_11	162,206,62
AAA_lid_2	134,63,216
AAA_lid_3	189,80,158
AAA_lid_4	147,108,217
AAA_lid_5	54,205,92
AAA_lid_6	170,93,221
AAA_lid_7	199,53,76
AAA_lid_8	177,74,183
AAA_lid_9	193,162,94
AAL_decarboxy	183,48,81
AAR2	88,212,180
AARP2CN	186,91,191
AAT	101,81,194
AATF-Che1	192,201,54
AATase	95,213,123
AA_kinase	148,78,224
AA_permease	82,225,201
AA_permease_2	180,217,107
AA_permease_C	193,77,138
AA_permease_N	217,200,92
AA_synth	71,188,69
ABATE	138,187,82
ABA_GPCR	137,195,50
ABA_WDS	81,61,221
ABC-3	190,102,215
ABC1	197,149,67
ABC2_membrane	139,217,106
ABC2_membrane_2	70,194,214
ABC2_membrane_3	151,189,55
ABC2_membrane_4	203,161,59
ABC2_membrane_5	176,207,85
ABC2_membrane_6	223,99,59
ABC_ATPase	191,103,213
ABC_cobalt	227,95,216
ABC_export	105,112,219
ABC_membrane	149,226,73
ABC_membrane_2	120,179,45
ABC_membrane_3	202,87,201
ABC_sub_bind	117,185,47
ABC_tran	129,201,63
ABC_tran_2	125,108,225
ABC_tran_CTD	180,67,143
ABC_tran_Xtn	54,177,199
ABC_trans_CmpB	52,194,62
ABC_trans_N	197,82,119
ABC_trans_aux	99,207,73
ABC_transp_aux	95,194,98
ABG_transport	88,217,101
ABM	193,84,127
ACAS_N	54,78,195
ACBP	150,185,75
ACCA	66,101,203
ACC_central	50,65,192
ACC_epsilon	226,73,128
ACD	187,91,53
ACDC	206,63,118
ACI44	149,203,75
ACOX	160,60,188
ACP	224,137,80
ACP53EA	198,82,137
ACPS	85,184,135
ACP_PD	192,217,93
ACP_syn_III	189,102,84
ACP_syn_III_C	146,207,81
ACR_tran	63,191,60
ACT	67,209,69
ACTH_assoc	181,65,82
ACTH_domain	91,92,219
ACTL7A_N	63,127,194
ACT_3	57,199,228
ACT_4	225,82,136
ACT_5	194,95,99
ACT_6	99,192,209
ACT_7	227,81,80
AC_N	203,208,102
AChE_tetra	55,140,198
AD	206,121,85
ADAM17_MPD	51,184,83
ADAM_CR	153,228,78
ADAM_CR_2	125,92,206
ADAM_spacer1	111,88,218
ADC	80,180,156
ADD_ATRX	64,196,59
ADD_DNMT3	89,194,151
ADH_N	211,65,138
ADH_N_2	185,119,52
ADH_N_assoc	221,55,66
ADH_zinc_N	81,108,215
ADH_zinc_N_2	101,131,226
ADIP	201,153,55
ADK	200,63,145
ADK_lid	202,175,55
ADPRTs_Tse2	195,89,112
ADP_PFK_GK	142,228,74
ADP_ribosyl_GH	215,124,105
ADPrib_exo_Tox	88,189,84
ADSL_C	198,156,85
AEP1	84,191,178
AF-4	59,149,182
AF0941-like	93,208,167
AF2331-like	76,60,180
AFG1_ATPase	61,181,219
AFOR_C	91,209,162
AFOR_N	55,187,94
AFP	130,67,207
AFP_2	191,65,73
AFT	205,147,87
AGA2	122,57,181
AGH	208,63,91
AGOG	189,143,80
AGO_N	193,71,218
AGP	173,194,66
AGS_C	58,152,185
AGT	193,55,91
AGTRAP	108,74,218
AHD	86,98,188
AHH	211,67,212
AHJR-like	197,120,82
AHL_synthase	104,197,72
AHSA1	81,199,171
AHSP	86,128,187
AI-2E_transport	226,96,145
AIB	116,76,209
AICARFT_IMPCHas	212,188,65
AID	221,117,106
AIDA	59,105,193
AIF-MLS	194,109,74
AIF_C	119,195,55
AIG1	136,61,183
AIG2_2	224,105,141
AIM24	186,55,82
AIM3	202,115,65
AIM5	214,101,75
AIMP2_LysRS_bd	93,182,225
AIP3	161,91,218
AIPR	116,184,86
AIRC	73,174,200
AIRS	215,196,78
AIRS_C	182,125,70
AJAP1_PANP_C	206,203,75
AKAP28	205,84,157
AKAP2_C	177,96,208
AKAP7_NLS	70,212,222
AKAP7_RIRII_bdg	81,123,217
AKAP95	185,101,216
AKAP_110	130,112,225
AKNA	128,92,193
ALAD	119,78,220
ALC	58,192,128
ALF	117,180,50
ALG11_N	79,185,187
ALG3	107,205,96
ALGX	104,217,140
ALIX_LYPXL_bnd	200,69,115
ALMS_motif	221,91,210
ALMS_repeat	180,174,75
ALMT	66,127,202
ALO	58,139,185
ALP_N	184,216,85
ALS2CR11	92,205,140
ALS2CR8	76,213,107
ALS_ss_C	180,187,59
AMA-1	225,202,98
AMH_N	213,147,81
AMIN	181,126,72
AMMECR1	112,75,190
AMNp_N	63,95,223
AMO	84,184,137
AMOP	73,182,114
AMP-binding	60,217,223
AMP-binding_C	182,50,118
AMP-binding_C_2	184,90,149
AMPK1_CBM	63,170,208
AMPKBI	197,51,178
AMP_N	91,200,145
ANAPC1	212,228,110
ANAPC10	94,193,206
ANAPC15	82,111,220
ANAPC16	222,182,108
ANAPC2	222,99,170
ANAPC3	158,66,183
ANAPC4	74,222,204
ANAPC4_WD40	135,229,111
ANAPC5	215,83,158
ANAPC8	88,191,115
ANAPC9	172,200,88
ANAPC_CDC26	89,55,193
ANATO	139,73,226
ANF_receptor	54,214,70
ANKH	120,183,67
ANP	55,129,192
ANT	121,69,214
ANTAR	113,53,203
ANTH	103,203,74
ANXA2R	210,116,90
AOC_like	221,104,93
AOX	91,210,59
AP-5_subunit_s1	198,146,81
AP1AR	93,201,157
AP2	94,174,221
AP3B1_C	194,115,49
AP3D1	72,53,214
AP4E_app_platf	122,85,178
APA3_viroporin	199,98,138
APAF1_C	207,90,149
APC1_C	121,90,220
APCDDC	74,82,224
APC_15aa	221,193,96
APC_N_CC	217,227,88
APC_basic	91,223,141
APC_r	97,224,153
APC_rep	55,99,201
APC_u13	214,82,63
APC_u14	81,192,142
APC_u15	188,51,54
APC_u5	79,196,137
APC_u9	199,176,58
APG12	201,89,87
APG17	97,194,64
APG5	93,179,85
APG6	88,68,198
APG6_N	81,204,177
APG9	100,226,194
APH	106,220,228
APH_6_hur	92,202,190
API5	51,108,188
APOBEC1	181,134,62
APOBEC2	51,106,183
APOBEC3	186,186,84
APOBEC4	73,194,152
APOBEC4_like	192,101,218
APOBEC_C	76,155,182
APOBEC_N	66,179,115
APOC4	102,202,219
APO_RNA-bind	74,206,54
APP_Cu_bd	189,139,88
APP_E2	46,165,181
APP_N	204,83,143
APP_amyloid	75,229,131
APS-reductase_C	178,182,46
APS_kinase	48,131,188
APT	202,83,92
AP_endonuc_2	69,222,207
AP_endonuc_2_N	74,197,127
ARA70	144,62,204
ARD	49,194,66
ARF7EP_C	103,92,192
ARGLU	102,220,112
ARHGEF5_35	99,183,74
ARID	178,56,116
ARL17	222,175,69
ARL2_Bind_BART	73,219,109
ARL6IP6	66,88,220
AROS	96,212,76
ARPC4	206,56,188
ARS2	222,160,89
ART	53,206,108
ART-PolyVal	187,83,90
ARTD15_N	215,97,131
ASC	53,189,81
ASCH	208,181,89
ASD1	223,110,126
ASD2	174,195,78
ASF1_hist_chap	81,131,208
ASFV_360	164,81,207
ASFV_J13L	54,195,138
ASFV_L11L	107,194,81
ASFV_p27	187,86,113
ASH	73,182,160
ASL_C	102,228,133
ASL_C2	107,69,187
ASPRs	164,75,206
ASRT	202,98,195
ASTN_2_hairpin	103,125,216
ASXH	97,219,89
ATAD4	105,183,89
ATC_hydrolase	98,73,199
ATE_C	204,100,128
ATE_N	83,124,222
ATF7IP_BD	85,188,69
ATG101	92,190,77
ATG11	51,144,189
ATG13	84,200,148
ATG16	150,79,205
ATG19_autophagy	153,48,181
ATG22	92,208,191
ATG27	183,131,77
ATG2_CAD	96,167,200
ATG7_N	228,62,71
ATG_C	208,65,190
ATHILA	225,158,74
ATLF	191,194,85
ATP-cone	186,70,213
ATP-grasp	86,179,93
ATP-grasp_2	76,220,127
ATP-grasp_3	84,156,185
ATP-grasp_4	197,156,74
ATP-grasp_5	194,96,199
ATP-grasp_6	52,58,181
ATP-gua_Ptrans	216,171,101
ATP-gua_PtransN	156,219,89
ATP-sulfurylase	196,67,83
ATP-synt	221,197,80
ATP-synt_10	71,140,222
ATP-synt_8	132,86,225
ATP-synt_A	61,223,164
ATP-synt_B	196,93,117
ATP-synt_C	61,101,196
ATP-synt_D	113,222,82
ATP-synt_DE	212,60,225
ATP-synt_DE_N	190,210,88
ATP-synt_E	64,144,201
ATP-synt_E_2	204,76,108
ATP-synt_Eps	115,185,76
ATP-synt_F	206,74,94
ATP-synt_F6	60,200,138
ATP-synt_G	178,108,75
ATP-synt_I	189,72,112
ATP-synt_J	179,79,90
ATP-synt_S1	198,128,93
ATP-synt_Z	186,88,106
ATP-synt_ab	187,135,93
ATP-synt_ab_C	180,78,49
ATP-synt_ab_N	145,94,227
ATP-synt_ab_Xtn	214,104,57
ATP11	197,180,61
ATP12	217,214,97
ATP13	193,137,76
ATP19	64,223,200
ATP1G1_PLM_MAT8	194,132,57
ATP_Ca_trans_C	183,69,115
ATP_bind_1	211,191,83
ATP_bind_2	173,216,106
ATP_bind_3	97,189,207
ATP_sub_h	49,184,152
ATP_synt_H	208,63,97
ATP_synth_reg	81,179,92
ATP_transf	64,59,203
ATPase	189,94,224
ATPase-cat_bd	104,55,181
ATPase_2	184,85,63
ATPase_gene1	169,90,208
ATPgrasp_N	110,171,224
ATPgrasp_ST	96,70,192
ATPgrasp_Ter	105,179,82
ATPgrasp_TupA	194,172,87
ATPgrasp_YheCD	130,91,191
ATR13	102,196,96
ATS	72,133,221
ATS3	180,57,156
ATXN-1_C	114,80,211
ATX_III	148,198,66
AT_hook	187,208,75
AUDH_Cupin	203,75,160
AUX_IAA	204,90,153
AWPM-19	194,66,90
AWS	188,142,49
AXE1	208,104,113
AXH	66,196,77
AXIN1_TNKS_BD	132,200,79
AZUL	92,127,216
A_amylase_inhib	92,208,181
A_deamin	213,87,142
A_deaminase	226,153,81
A_deaminase_N	182,223,68
A_thal_3526	113,54,193
Aa_trans	84,88,193
AadA_C	194,134,67
AalphaY_MDB	94,171,217
AbLIM_anchor	93,223,154
AbbA_antirepres	59,158,213
Abdominal-A	66,105,195
AbfB	196,151,68
AbfS_sensor	79,161,186
Abhydro_lipase	205,218,76
Abhydrolase_1	86,180,151
Abhydrolase_2	165,184,75
Abhydrolase_3	183,51,179
Abhydrolase_4	224,194,107
Abhydrolase_5	105,75,205
Abhydrolase_6	113,71,219
Abhydrolase_7	65,152,219
Abhydrolase_8	194,151,87
Abhydrolase_9	98,227,144
Abhydrolase_9_N	175,53,200
Abi	150,86,216
AbiEi_1	49,194,180
AbiEi_2	144,57,178
AbiEi_3	169,207,79
AbiEi_3_N	109,190,89
AbiEi_4	180,117,65
AbiEii	222,77,188
AbiGi	104,66,228
AbiGii_2	72,96,208
AbiH	224,155,71
AbiJ_NTD3	65,108,181
AbiJ_NTD4	74,124,181
AbiJ_NTD5	162,186,50
AbiTii	80,227,77
Abi_2	172,195,65
Abi_C	147,93,189
Abi_HHR	82,183,185
Abp2	108,191,224
AbrB	95,98,223
AbrB-like	223,194,81
AbrB_C	93,209,80
Ac110_PIF	182,64,96
Ac76	178,79,156
Ac81	84,181,167
AcMNPV_Ac109	66,59,208
Acatn	71,200,171
AceK	199,93,220
AcetDehyd-dimer	216,81,210
Acetate_kinase	225,92,121
Acetone_carb_G	71,181,96
AcetylCoA_hyd_C	88,186,111
AcetylCoA_hydro	90,138,224
Acetyltransf_1	121,183,50
Acetyltransf_10	88,180,95
Acetyltransf_11	224,90,159
Acetyltransf_13	205,60,75
Acetyltransf_14	83,56,191
Acetyltransf_15	69,201,161
Acetyltransf_16	67,190,139
Acetyltransf_17	189,97,92
Acetyltransf_18	214,106,196
Acetyltransf_19	200,99,92
Acetyltransf_2	68,124,226
Acetyltransf_3	105,146,215
Acetyltransf_4	162,66,181
Acetyltransf_5	226,151,71
Acetyltransf_6	110,194,95
Acetyltransf_7	183,210,60
Acetyltransf_8	106,224,203
Acetyltransf_9	157,184,47
Acetyltransf_CG	80,197,99
Acid_PPase	220,104,133
Acid_phosphat_B	128,96,194
Aconitase	180,189,85
Aconitase_2_N	210,87,61
Aconitase_B_N	188,217,64
Aconitase_C	63,185,92
Acp26Ab	202,139,71
AcrZ	152,214,105
Act-Frag_cataly	57,215,131
ActA	83,195,193
Actin	92,205,86
Actin_micro	84,119,216
Actino_peptide	74,120,212
Activator-TraM	221,189,106
Activator_LAG-3	63,196,160
Activin_recp	101,59,213
Acyl-ACP_TE	160,90,184
Acyl-CoA_dh_1	85,191,117
Acyl-CoA_dh_2	106,185,56
Acyl-CoA_dh_C	208,149,57
Acyl-CoA_dh_M	225,186,97
Acyl-CoA_dh_N	105,135,218
Acyl-CoA_ox_N	66,223,112
Acyl-thio_N	203,94,202
AcylCoA_DH_N	209,59,129
AcylCoA_dehyd_C	177,78,222
Acyl_CoA_thio	205,97,158
Acyl_transf_1	59,176,209
Acyl_transf_2	130,206,76
Acyl_transf_3	50,152,200
Acylphosphatase	79,219,111
Acyltransf_C	54,180,132
Acyltransferase	87,176,216
AdHead_fibreRBD	222,88,109
Ad_Cy_reg	183,52,154
Ad_cyc_g-alpha	67,137,193
Ada3	60,96,199
Ada_Zn_binding	176,85,197
Adap_comp_sub	83,193,105
Adaptin_N	60,203,86
Adaptin_binding	195,57,118
Adenine_deam_C	162,101,226
Adenine_glyco	83,189,103
Adeno_100	77,221,105
Adeno_52K	188,89,110
Adeno_E1A	198,127,96
Adeno_E1B_19K	62,222,182
Adeno_E1B_55K	52,182,133
Adeno_E1B_55K_N	102,166,214
Adeno_E3	51,181,202
Adeno_E3A	229,74,104
Adeno_E3B	114,106,214
Adeno_E3_14_5	65,102,188
Adeno_E3_15_3	192,176,82
Adeno_E3_CR1	103,177,224
Adeno_E3_CR2	189,135,69
Adeno_E4	114,201,97
Adeno_E4_34	180,56,197
Adeno_E4_ORF3	67,175,193
Adeno_GP19K	104,202,208
Adeno_IVa2	139,67,219
Adeno_PIX	107,200,70
Adeno_PV	155,85,181
Adeno_PVIII	214,71,124
Adeno_PX	203,56,136
Adeno_Penton_B	219,130,85
Adeno_VII	106,94,197
Adeno_hexon	75,201,118
Adeno_hexon_C	206,154,101
Adeno_knob	192,81,118
Adeno_shaft	209,111,97
Adeno_terminal	74,214,171
Adenosine_kin	205,169,88
Adenyl_cycl_N	124,222,87
Adenyl_transf	88,55,214
AdenylateSensor	194,52,208
Adenylate_cycl	94,56,182
Adenylsucc_synt	198,70,120
Adhes-Ig_like	223,90,226
Adhesin_Dr	180,133,87
Adhesin_E	85,93,216
Adhesin_P1	217,76,123
Adhesin_P1_N	157,181,68
Adipogenin	61,217,153
Adipokin_hormo	87,111,193
AdoHcyase	55,203,152
AdoHcyase_NAD	195,156,83
AdoMetDC_leader	89,224,210
AdoMet_MTase	65,176,180
AdoMet_Synthase	161,214,63
AdoMet_dc	104,90,186
Aegerolysin	224,101,133
Aerolysin	204,68,115
AfaD	60,211,217
Afaf	195,181,72
Afi1	140,60,198
AflR	86,63,214
AfsA	178,81,93
Aft1_HRA	137,180,64
Aft1_HRR	126,53,184
Aft1_OSA	66,196,84
AftA_C	141,193,90
AftA_N	99,215,68
Ag332	76,218,158
AgI_II_C2	184,74,51
Agarase_CBM	75,88,179
Agenet	180,157,78
Agglutinin	169,225,64
Agglutinin_C	85,144,208
AglB_L1	192,186,51
Ago_N_1	73,191,119
Ago_PAZ	53,85,181
Ago_hook	92,59,181
Agouti	113,61,182
AgrB	181,182,61
AgrD	226,196,107
Agro_virD5	95,197,165
Aha1_N	85,124,188
AhpC-TSA	166,71,190
AhpC-TSA_2	81,101,225
AidB_N	78,193,140
Aida_C2	193,95,115
Aida_N	220,81,137
Ail_Lom	62,126,195
Aim19	108,127,223
Aim21	124,227,64
AlaDh_PNT_C	96,211,180
AlaDh_PNT_N	60,217,133
AlaE	189,201,56
Ala_racemase_C	228,58,61
Ala_racemase_N	87,82,180
Alanine_zipper	81,220,75
Alb1	85,118,217
AlbA_2	153,207,55
Alba	198,208,83
Albumin_I	171,211,96
Albumin_I_a	180,93,46
AlcCBM31	221,106,150
Ald_Xan_dh_C	127,182,88
Ald_Xan_dh_C2	194,143,89
Ald_deCOase	91,168,220
Aldedh	105,213,139
Aldo_ket_red	225,205,58
Aldolase	202,93,202
Aldolase_II	208,130,90
Aldose_epim	76,203,227
Alfin	187,118,75
Alg14	171,179,66
Alg6_Alg8	148,185,74
AlgF	132,198,87
Alginate_exp	128,200,52
Alginate_lyase	209,93,208
Alginate_lyase2	228,81,144
AlkA_N	213,133,72
Alk_phosphatase	172,203,66
Alkyl_sulf_C	227,74,132
Alkyl_sulf_dimr	209,194,83
Allantoicase	57,165,190
Allatostatin	145,218,83
Allene_ox_cyc	121,78,192
Allexi_40kDa	205,81,184
Alliinase_C	195,215,93
Alph_Pro_TM	180,72,128
Alpha-2-MRAP_C	89,195,53
Alpha-2-MRAP_N	194,59,88
Alpha-E	61,123,202
Alpha-L-AF_C	67,116,216
Alpha-amyl_C	62,221,223
Alpha-amyl_C2	212,83,228
Alpha-amylase	72,189,149
Alpha-amylase_C	60,49,183
Alpha-amylase_N	123,57,220
Alpha-mann_mid	213,172,69
AlphaC_C	196,89,105
AlphaC_N	196,159,91
Alpha_E1_glycop	59,180,154
Alpha_E2_glycop	81,63,190
Alpha_E3_glycop	207,216,101
Alpha_GJ	96,218,121
Alpha_Helical	76,103,194
Alpha_L_fucos	165,80,195
Alpha_TIF	94,200,140
Alpha_adaptinC2	53,147,197
Alpha_adaptin_C	88,134,223
Alpha_kinase	181,91,188
AltA1	126,51,186
Alveol-reg_P311	126,215,104
Amastin	68,155,187
Amb_V_allergen	108,218,97
Amdase	213,201,81
Amdo_NSP	157,45,178
Amelin	200,81,121
Amelogenin	63,145,225
Amelotin	82,223,155
AmiS_UreI	212,97,220
Amidase	195,142,64
Amidase02_C	205,63,95
Amidase_2	122,192,71
Amidase_3	174,223,57
Amidase_5	121,67,220
Amidase_6	162,213,63
Amidinotransf	194,129,75
Amido_AtzD_TrzD	61,117,214
Amidohydro_1	210,93,184
Amidohydro_2	95,225,123
Amidohydro_3	228,157,101
Amidoligase_2	190,89,86
Amino_oxidase	184,74,52
Aminoglyc_resit	92,107,210
Aminopep	119,203,61
Aminotran_1_2	89,113,198
Aminotran_3	49,163,189
Aminotran_4	52,144,188
Aminotran_5	214,54,122
Aminotran_MocR	90,91,192
Amj	223,132,110
Ammonium_transp	67,216,214
Amnionless	54,186,186
AmoC	194,207,95
AmpE	78,92,203
An_peroxidase	101,72,184
Androgen_recep	105,229,138
Anemone_cytotox	198,69,143
AnfG_VnfG	54,149,207
AnfO_nitrog	158,221,62
Angiomotin_C	62,215,80
Anillin	61,147,214
Anillin_N	76,178,222
Ank	96,227,87
AnkUBD	73,97,180
Ank_2	151,90,191
Ank_3	61,207,59
Ank_4	62,205,90
Ank_5	69,76,200
AnmK	70,117,189
Annexin	203,86,203
Annexin_like	177,186,74
Anoct_dimer	148,77,217
Anoctamin	83,83,221
Anophelin	102,214,212
Anp1	108,66,208
AntA	210,188,96
Ant_C	77,198,219
Anth_Ig	114,67,201
Anth_synt_I_N	163,87,183
Anthrax-tox_M	213,82,142
Anthrax_toxA	120,222,78
Anti-TRAP	100,160,202
Anti-adapt_IraP	188,91,180
Antibiotic_NAT	93,59,220
Anticodon_1	85,52,208
Antifungal_pept	92,130,195
Antifungal_prot	89,74,191
Antig_Caf1	84,159,191
Antigen_Bd37	79,185,130
Antigen_C	105,218,110
Antimicrobial10	176,79,201
Antimicrobial11	77,200,163
Antimicrobial12	112,91,194
Antimicrobial13	120,218,72
Antimicrobial14	172,202,97
Antimicrobial15	61,206,133
Antimicrobial17	66,73,196
Antimicrobial18	76,69,195
Antimicrobial19	210,220,78
Antimicrobial20	213,101,206
Antimicrobial21	186,185,58
Antimicrobial22	88,71,190
Antimicrobial23	223,166,104
Antimicrobial24	95,132,221
Antimicrobial25	48,186,132
Antimicrobial_1	220,128,87
Antimicrobial_2	217,73,194
Antimicrobial_3	161,195,54
Antimicrobial_4	215,94,136
Antimicrobial_5	200,94,128
Antimicrobial_6	165,62,201
Antimicrobial_7	107,215,95
Antimicrobial_8	110,177,228
Antimicrobial_9	179,136,78
Antirestrict	85,223,158
Antistasin	52,206,120
Antiterm	207,160,102
ApbA	91,128,221
ApbA_C	188,163,68
ApbE	166,221,108
Apc13p	56,70,186
Apc15p	75,193,209
ApeA_NTD1	51,186,174
ApeC	220,194,105
Apelin	141,89,219
Aph-1	74,209,70
AphA_like	69,145,210
Apidaecin	79,184,155
Apis_Csd	200,130,54
Apo-CII	81,189,68
Apo-CIII	63,203,177
Apo-VLDL-II	220,79,107
ApoA-II	132,61,180
ApoB100_C	203,180,88
ApoC-I	193,77,160
ApoL	213,214,79
ApoLp-III	111,227,183
ApoM	102,54,186
ApoO	157,64,197
Apocytochr_F_C	86,187,140
Apocytochr_F_N	68,141,193
Apolipo_F	203,56,166
Apolipoprotein	77,70,209
Apq12	190,218,89
Apt1	102,228,135
Apyrase	70,73,208
Aquarius_N	162,60,200
ArAE_1	199,50,137
ArAE_1_C	202,157,93
ArAE_2	211,90,170
ArAE_2_N	109,156,224
AraC_N	112,52,192
AraC_binding	81,203,213
AraC_binding_2	226,106,111
ArabFuran-catal	226,62,95
Arabino_trans_C	89,181,112
Arabino_trans_N	194,156,73
Arabinose_Iso_C	172,201,90
Arabinose_Isome	78,181,170
Arabinose_bd	64,208,210
Arabinose_trans	95,198,74
Arb1	190,103,212
Arb2	201,82,196
Arc	184,149,81
Arc_C	182,62,159
Arc_PepC	85,86,225
Arc_PepC_II	210,92,113
Arc_trans_TRASH	151,186,72
Arcadin_1	211,168,74
Arch_fla_DE	115,184,80
Arch_flagellin	62,158,179
Archaeal_AmoA	223,225,61
Archease	214,175,76
ArdA	72,185,94
AreA_N	69,77,179
ArenaCapSnatch	158,209,63
Arena_RNA_pol	228,229,100
Arena_glycoprot	222,80,219
Arena_ncap_C	102,201,80
Arena_nucleocap	194,56,209
Arf	77,197,154
ArfA	209,77,201
ArfGap	102,207,162
Arfaptin	72,176,218
ArgJ	81,120,181
ArgK	200,208,71
Arg_decarb_HB	142,79,182
Arg_decarbox_C	92,135,218
Arg_repressor	219,102,162
Arg_repressor_C	80,175,218
Arg_tRNA_synt_N	123,182,87
Arginase	126,224,107
Arginosuc_synth	93,212,110
ArgoL1	203,81,166
ArgoL2	184,121,88
ArgoMid	78,187,147
ArgoN	47,186,136
Argos	64,111,190
Arif-1	100,103,228
ArlS_N	216,124,58
Arm	123,72,229
Arm-DNA-bind_1	178,90,182
Arm-DNA-bind_2	91,199,154
Arm-DNA-bind_3	47,183,132
Arm-DNA-bind_4	124,79,222
Arm-DNA-bind_5	78,87,221
Arm_2	224,147,110
Arm_3	172,77,199
Arm_APC_u3	194,155,65
Arm_vescicular	86,66,193
Armet	181,150,46
ArnB_C	109,224,102
Arnt_C	83,181,142
AroM	134,83,192
Aromatic_hydrox	224,102,189
Arr-ms	102,98,212
Arrestin_C	162,182,72
Arrestin_N	193,95,214
ArsA_ATPase	210,53,214
ArsA_HSP20	132,196,81
ArsB	207,201,91
ArsC	197,52,109
ArsD	63,80,189
ArsP_1	103,196,76
ArsP_2	145,53,187
ArsR	61,211,196
Arteri_GP4	215,171,84
Arteri_Gl	145,207,74
Arteri_env	130,59,221
Arteri_nsp7a	219,81,229
Arteri_nucleo	97,227,228
Arv1	86,164,217
Arylesterase	67,178,156
Arylsulfotran_2	81,204,122
Arylsulfotran_N	217,56,59
Arylsulfotrans	207,78,156
Ashwin	77,111,202
AsiA	219,68,57
AsmA	208,59,109
AsmA_1	96,228,215
AsmA_2	220,154,60
AsnA	62,185,199
AsnC_trans_reg	134,72,182
AsnC_trans_reg2	55,47,187
Asn_synthase	97,201,176
Asp	210,100,210
Asp-Al_Ex	206,179,56
