1-cysPrx_C	159,78,55	#9f4e37
ABHD18	110,229,197	#6ee5c5
ABM	133,108,203	#856ccb
ABM-like	126,102,194	#7e66c2
ABhydrolase-like_N	159,228,126	#9fe47e
ACAD9-ACADV_C	170,105,52	#aa6934
ACAS_N	144,27,32	#901b20
ACBP	130,40,18	#822812
ACCA	134,151,42	#86972a
ACCA_BT	149,90,74	#955a4a
ACC_central	203,91,60	#cb5b3c
ACC_epsilon	154,101,86	#9a6556
ACD	219,109,79	#db6d4f
ACDC	156,78,57	#9c4e39
ACDH-11_C	158,112,74	#9e704a
ACDH_C	154,92,75	#9a5c4b
ACI44	97,142,180	#618eb4
ACOX	166,116,75	#a6744b
ACOX_C_alpha1	245,144,63	#f5903f
ACP	226,148,126	#e2947e
ACP53EA	140,71,52	#8c4734
ACPS	170,222,124	#aade7c
ACP_PD	143,65,43	#8f412b
ACP_syn_III	189,102,84	#bd6654
ACP_syn_III_C	146,207,81	#92cf51
ACR_tran	198,193,104	#c6c168
ACS_CODH_B_C	225,101,66	#e16542
ACT	186,207,64	#bacf40
ACTH_assoc	181,65,82	#b54152
ACTH_domain	165,98,80	#a56250
ACTL7A_N	167,77,52	#a74d34
ACTMAP-like_C	39,141,32	#278d20
ACT_3	182,202,70	#b6ca46
ACT_4	183,202,74	#b7ca4a
ACT_5	147,165,45	#93a52d
ACT_6	145,161,56	#91a138
ACT_7	138,150,70	#8a9646
ACT_8	202,225,72	#cae148
ACT_9	188,203,104	#bccb68
ACT_AHAS_ss	201,218,105	#c9da69
ACT_PSP_2	131,145,51	#839133
ACT_phage	148,164,58	#94a43a
AC_1	68,78,140	#444e8c
AC_N	154,92,75	#9a5c4b
AChE_tetra	197,126,107	#c57e6b
AD	206,97,67	#ce6143
ADAM10_Cys-rich	94,175,196	#5eafc4
ADAM17_MPD	71,161,185	#47a1b9
ADAMTSL1	141,85,70	#8d5546
ADAMTS_C	139,65,45	#8b412d
ADAMTS_CR_2	88,167,187	#58a7bb
ADAMTS_CR_3	57,124,142	#397c8e
ADAMTS_spacer1	160,100,83	#a06453
ADAM_CR	25,117,141	#19758d
ADAM_CR_2	125,92,206	#7d5cce
ADAM_spacer1	111,88,218	#6f58da
ADC	165,89,73	#a55949
ADDB_N	68,129,146	#448192
ADDT	65,104,151	#416897
ADD_ATRX	55,130,56	#378238
ADD_DNMT3	91,163,93	#5ba35d
ADH_N	211,65,138	#d3418a
ADH_N_2	134,137,72	#868948
ADH_N_assoc	221,55,66	#dd3742
ADH_zinc_N	81,108,215	#516cd7
ADH_zinc_N_2	101,131,226	#6583e2
ADI	49,165,107	#31a56b
ADIP	215,107,77	#d76b4d
ADK	102,205,234	#66cdea
ADK_lid	158,72,48	#9e4830
ADNP_N	138,69,50	#8a4532
ADPRTs_Tse2	146,159,46	#929f2e
ADP_PFK_GK	243,146,112	#f39270
ADP_ribosyl_GH	201,134,115	#c98673
ADPrib_exo_Tox	164,174,90	#a4ae5a
ADSL_C	203,123,101	#cb7b65
ADYC	214,109,80	#d66d50
AEP-TOTE	192,43,171	#c02bab
AEP-like	178,47,159	#b22f9f
AEP1	199,103,76	#c7674c
AEP_C962R	204,88,187	#cc58bb
AF-4	209,124,100	#d17c64
AF0941-like	221,109,78	#dd6d4e
AF1548-like_C	117,56,157	#75389d
AF2212-like	181,241,93	#b5f15d
AF2331-like	164,100,83	#a46453
AF4_int	199,91,61	#c75b3d
AFF4_CHD	108,134,72	#6c8648
AFG1_ATPase	101,195,221	#65c3dd
AFOR_C	205,133,113	#cd8571
AFOR_N	198,124,104	#c67c68
AFP	217,133,109	#d9856d
AFP_2	165,98,80	#a56250
AFT	124,60,70	#7c3c46
AFUB_07903_YDR124W_hel	217,104,72	#d96848
AF_0587-like_pre-PUA	79,182,139	#4fb68b
AF_0924	200,125,104	#c87d68
AF_1763-like_C	179,125,225	#b37de1
AF_2299-like_N	200,98,70	#c86246
AGA-YXIM_GBD	57,93,120	#395d78
AGA2	155,97,81	#9b6151
AGAO-like_N2	96,191,136	#60bf88
AGH	136,90,77	#885a4d
AGK_C	211,103,72	#d36748
AGOG	147,69,48	#934530
AGO_N	201,130,111	#c9826f
AGP	154,94,77	#9a5e4d
AGRB_N	221,145,124	#dd917c
AGS_C	80,45,114	#502d72
AGT	132,89,172	#8459ac
AGTRAP	207,102,73	#cf6649
AHAS-like_ACT	205,223,104	#cddf68
AHD	141,145,64	#8d9140
AHH	155,75,126	#9b4b7e
AHJR-like	128,214,130	#80d682
AHL_synthase	157,104,89	#9d6859
AHSA1	40,113,114	#287172
AHSP	202,130,110	#ca826e
AH_C	120,230,177	#78e6b1
AI-2E_transport	140,87,72	#8c5748
AI2M-like_HNH	199,74,154	#c74a9a
AIB	222,102,68	#de6644
AICARFT_IMPCHas	117,176,48	#75b030
AID	98,129,61	#62813d
AIDA	46,59,144	#2e3b90
AIF-1	56,126,152	#387e98
AIF-MLS	206,93,62	#ce5d3e
AIF_C	227,89,108	#e3596c
AIG1	26,129,157	#1a819d
AIG2_2	130,250,193	#82fac1
AIM24	101,132,191	#6584bf
AIM3	161,97,80	#a16150
AIM5	243,247,99	#f3f763
AIMA-like_N	61,183,159	#3db79f
AIMP2_LysRS_bd	143,88,73	#8f5849
AIP3	225,143,121	#e18f79
AIPR	148,98,84	#946254
AIPR_N	152,75,53	#984b35
AIR2-like_ZnK4	156,222,65	#9cde41
AIRC	113,58,194	#713ac2
AIRS	148,33,164	#9421a4
AIRS_C	148,70,49	#944631
AJAP1_PANP_C	162,106,91	#a26a5b
AKAP28	141,73,54	#8d4936
AKAP2_C	165,99,81	#a56351
AKAP7_NLS	64,147,155	#40939b
AKAP7_RIRII_bdg	199,89,59	#c7593b
AKAP95	223,113,82	#df7152
AKAP_110	197,93,64	#c55d40
AKNA	217,136,114	#d98872
ALAD	155,127,94	#9b7f5e
ALC	161,102,86	#a16656
ALE2_N	159,81,59	#9f513b
ALF	166,110,95	#a66e5f
ALG11_N	79,42,114	#4f2a72
ALG3	105,143,207	#698fcf
ALGX	143,155,75	#8f9b4b
ALIX_LYPXL_bnd	140,93,80	#8c5d50
ALKBH8_N	222,137,113	#de8971
ALKL1_2	148,72,51	#944833
ALK_LTK_GRD	116,217,146	#74d992
ALMS_motif	222,102,69	#de6645
ALMS_repeat	138,86,71	#8a5647
ALMT	195,88,102	#c35866
ALN	164,106,89	#a46a59
ALO	136,74,187	#884abb
ALOG_dom	209,95,64	#d15f40
ALP_N	74,114,154	#4a729a
ALS2CR11	92,205,140	#5ccd8c
ALS2CR8	148,98,84	#946254
ALS_ss_C	149,161,79	#95a14f
ALTTAQ_rpt	215,128,105	#d78069
AMA-1	161,113,80	#a17150
AMER	148,74,54	#944a36
AMG1_II	97,203,144	#61cb90
AMG1_III	91,202,140	#5bca8c
AMH_N	202,105,78	#ca694e
AMIN	201,126,106	#c97e6a
AMIN-like	138,67,47	#8a432f
AMMECR1	151,76,55	#974c37
AMNp_N	49,53,128	#313580
AMO	141,93,80	#8d5d50
AMOP	208,136,116	#d08874
AMP-binding	60,217,223	#3cd9df
AMP-binding_C	182,50,118	#b63276
AMP-binding_C_2	92,206,80	#5cce50
AMP-binding_C_3	62,144,54	#3e9036
AMP-dom_DIP2-like	122,222,112	#7ade70
AMPK1_CBM	153,69,89	#994559
AMPKBI	205,101,72	#cd6548
AMPK_alpha_AID	98,27,152	#621b98
AMP_N	92,172,97	#5cac61
AMP_deaminase	162,129,89	#a28159
AMS3	99,168,149	#63a895
AMT4_dom_C	151,92,106	#975c6a
ANAPC1	196,62,105	#c43e69
ANAPC10	108,144,171	#6c90ab
ANAPC15	156,100,84	#9c6454
ANAPC16	203,130,109	#cb826d
ANAPC2	133,137,70	#858946
ANAPC3	127,220,82	#7fdc52
ANAPC4	209,132,111	#d1846f
ANAPC4_WD40	150,48,81	#963051
ANAPC5	118,209,74	#76d14a
ANAPC8	89,144,62	#59903e
ANAPC9	196,91,62	#c45b3e
ANAPC_CDC26	201,102,75	#c9664b
ANATO	147,71,50	#934732
ANC1_spectrin	214,101,224	#d665e0
ANCHR-like_BBOX	118,89,214	#7659d6
ANF_receptor	207,35,122	#cf237a
ANGEL2_N	216,100,68	#d86444
ANIS5_cation-bd	209,96,64	#d16040
ANKH	153,35,143	#99238f
ANKLE2_3rd	216,103,71	#d86747
ANKRD13_C	70,137,149	#468995
ANK_LRRK2	190,93,155	#be5d9b
ANM3_C2H2_Zf	158,70,32	#9e4620
ANM3_zf-C2H2	168,79,41	#a84f29
ANP	150,95,79	#965f4f
ANT	206,98,68	#ce6244
ANTAR	143,65,43	#8f412b
ANTH	127,219,83	#7fdb53
ANXA2R	211,128,106	#d3806a
ANXE1_4th	216,140,119	#d88c77
AOC_like	80,166,78	#50a64e
AOX	136,164,93	#88a45d
AP-5_subunit_s1	64,130,48	#408230
AP1AR	140,62,41	#8c3e29
AP2	129,175,72	#81af48
AP205_coat	183,100,122	#b7647a
AP3B1_C	197,97,69	#c56145
AP3B1_C_2	212,128,105	#d48069
AP3D1	220,131,107	#dc836b
AP4E_app_platf	90,159,168	#5a9fa8
AP5B1_C	137,92,79	#895c4f
AP5B1_N	156,213,129	#9cd581
AP5B1_barrel	143,70,49	#8f4631
AP5B1_middle	89,146,62	#59923e
APA3_viroporin	199,98,138	#c7628a
APAF-1-like_WHD	147,151,75	#93974b
APAF1_C	197,129,111	#c5816f
APC1_3rd	140,72,53	#8c4835
APC1_C	136,63,42	#883f2a
APCDDC	221,143,122	#dd8f7a
APC_15aa	145,70,49	#914631
APC_N_CC	200,93,63	#c85d3f
APC_basic	225,134,109	#e1866d
APC_r	152,90,73	#985a49
APC_rep	147,207,118	#93cf76
APC_u13	164,82,59	#a4523b
APC_u14	221,104,71	#dd6847
APC_u15	221,142,120	#dd8e78
APC_u5	196,90,61	#c45a3d
APC_u9	144,70,49	#904631
APD1-4_M	219,106,75	#db6a4b
APD1-4_N	141,66,46	#8d422e
APEH_N	213,96,63	#d5603f
APG12	183,109,218	#b76dda
APG17	97,194,64	#61c240
APG5	93,179,85	#5db355
APG6	150,67,44	#96432c
APG6_N	160,104,88	#a06858
APG9	100,226,194	#64e2c2
APH	106,220,228	#6adce4
APH-like_N	206,111,142	#ce6f8e
APH_6_hur	49,180,44	#31b42c
API5	94,164,60	#5ea43c
APMV_polyA_pol_cat_2nd	169,76,167	#a94ca7
APOBEC1	99,131,63	#63833f
APOBEC2	93,124,58	#5d7c3a
APOBEC3	121,180,52	#79b434
APOBEC4	84,123,37	#547b25
APOBEC4_like	107,139,70	#6b8b46
APOBEC_C	119,177,51	#77b133
APOBEC_N	104,133,68	#688544
APOC4	226,114,83	#e27253
APO_RNA-bind	147,67,46	#93432e
APP1_cat	191,140,105	#bf8c69
APP_Cu_bd	141,72,53	#8d4835
APP_E2	157,98,82	#9d6252
APP_N	207,104,76	#cf684c
APP_amyloid	149,93,77	#955d4d
APS-reductase_C	216,138,116	#d88a74
APS_kinase	48,131,188	#3083bc
APT	37,135,87	#258757
AP_endonuc_2	210,151,83	#d29753
AP_endonuc_2_N	74,197,127	#4ac57f
ARA70	205,99,70	#cd6346
ARC6	86,147,56	#569338
ARC6-like_IMS	56,183,177	#38b7b1
ARCH_RTEL1	60,140,49	#3c8c31
ARD	79,114,183	#4f72b7
ARF7EP_C	223,116,87	#df7457
ARGLU	206,128,107	#ce806b
ARHGEF5_35	140,83,68	#8c5344
ARI1_UBAl	150,54,222	#9636de
ARID	200,209,65	#c8d141
ARL17	216,108,78	#d86c4e
ARL2_Bind_BART	208,100,70	#d06446
ARL6IP6	167,107,91	#a76b5b
ARMC9_ARM	90,154,60	#5a9a3c
ARMC9_LisH	129,96,41	#816029
ARMET_C	178,185,84	#b2b954
ARMET_N	50,116,50	#327432
ARMH2	207,93,62	#cf5d3e
ARMH3_C	217,141,120	#d98d78
ARMH4	151,93,77	#975d4d
ARMH5	221,139,117	#dd8b75
ARMT1-like_dom	166,76,51	#a64c33
ARM_5	168,229,139	#a8e58b
ARM_ARMC5	97,168,63	#61a83f
ARM_At3g06530	84,147,54	#549336
ARM_CUL7_CUL9	156,219,126	#9cdb7e
ARM_ECM29	121,213,76	#79d54c
ARM_ECM29_C	126,215,83	#7ed753
ARM_FBXO47	91,149,63	#5b953f
ARM_KDM8_N	99,166,67	#63a643
ARM_KNTC1_1st	159,220,129	#9fdc81
ARM_KNTC1_2nd	108,159,83	#6c9f53
ARM_KNTC1_3rd	119,202,79	#77ca4f
ARM_KRIT1	214,66,160	#d642a0
ARM_LIN	131,217,89	#83d959
ARM_LIN_2nd	92,153,62	#5c993e
ARM_LRRK2	145,202,118	#91ca76
ARM_TANGO6	147,214,114	#93d672
ARM_TBCD	128,223,82	#80df52
AROS	153,79,59	#994f3b
ARPC4	159,96,79	#9f604f
ARPP-1	166,109,92	#a66d5c
ARPP-2	205,136,117	#cd8875
ARS2	154,98,74	#9a624a
ART	161,175,56	#a1af38
ART-PolyVal	103,109,55	#676d37
ARTD15_N	149,73,52	#954934
ASA5	156,99,83	#9c6353
ASC	202,99,71	#ca6347
ASCH	115,100,68	#736444
ASD1	143,67,46	#8f432e
ASD1_dom	150,86,101	#965665
ASD2	156,93,76	#9c5d4c
ASF1_hist_chap	107,60,153	#6b3c99
ASFV_360	224,148,127	#e0947f
ASFV_J13L	164,98,80	#a46250
ASFV_L11L	198,132,114	#c68472
ASFV_p27	151,76,56	#974c38
ASH	97,67,126	#61437e
ASH2L-like_WH	218,224,119	#dae077
ASK_PH	38,32,122	#26207a
ASL_C	143,67,46	#8f432e
ASL_C2	147,75,55	#934b37
ASLyase_C	164,103,86	#a46756
ASMase_C	149,72,50	#954832
ASNSD1-SEP	249,95,41	#f95f29
ASPP2-like_RA	139,83,165	#8b53a5
ASPRs	97,69,121	#614579
ASRT	145,88,72	#915848
ASTER	157,98,82	#9d6252
ASTN1_2_fn3	79,45,113	#4f2d71
ASTN_1_2_N	222,102,68	#de6644
ASTN_2_hairpin	149,68,46	#95442e
ASXH	211,128,105	#d38069
ASY3-like	221,104,71	#dd6847
ATAD3_N	219,113,84	#db7154
ATAD4	213,97,65	#d56141
ATC_hydrolase	51,108,128	#336c80
ATE_C	47,200,63	#2fc83f
ATE_N	94,201,105	#5ec969
ATF7IP_BD	160,102,86	#a06656
ATG1-like_MIT1	84,138,192	#548ac0
ATG1-like_MIT2	78,132,186	#4e84ba
ATG101	139,31,215	#8b1fd7
ATG11	207,126,103	#cf7e67
ATG13	117,28,180	#751cb4
ATG14	204,86,170	#cc56aa
ATG16	139,67,47	#8b432f
ATG17_like	142,89,74	#8e594a
ATG19	129,94,163	#815ea3
ATG19_autophagy	153,48,181	#9930b5
ATG2-VPS13_C	154,93,76	#9a5d4c
ATG22	38,198,45	#26c62d
ATG27	160,108,223	#a06cdf
ATG29_N	215,100,68	#d76444
ATG2_CAD	146,123,66	#927b42
ATG31	155,101,86	#9b6556
ATG43	151,91,74	#975b4a
ATG4_LIR	153,73,51	#994933
ATG5_HBR	197,119,98	#c57762
ATG5_UblA	129,76,153	#814c99
ATG5_UblB	140,87,165	#8c57a5
ATG7_N	145,96,82	#916052
ATG8	172,100,205	#ac64cd
ATG9	138,64,44	#8a402c
ATG_C	208,65,190	#d041be
ATHILA	202,98,69	#ca6245
ATLF	71,119,114	#477772
ATP-cone	223,136,112	#df8870
ATP-grasp	86,179,93	#56b35d
ATP-grasp_2	146,80,132	#925084
ATP-grasp_3	84,156,185	#549cb9
ATP-grasp_4	197,156,74	#c59c4a
ATP-grasp_5	137,71,123	#89477b
ATP-grasp_6	208,103,186	#d067ba
ATP-gua_Ptrans	77,28,171	#4d1cab
ATP-gua_PtransN	204,101,72	#cc6548
ATP-sulfurylase	108,56,154	#6c389a
ATP-synt	139,86,71	#8b5647
ATP-synt_10	147,49,30	#93311e
ATP-synt_8	124,104,30	#7c681e
ATP-synt_A	196,127,108	#c47f6c
ATP-synt_B	130,116,63	#82743f
ATP-synt_C	202,104,77	#ca684d
ATP-synt_D	143,72,53	#8f4835
ATP-synt_DE	115,195,72	#73c348
ATP-synt_DE_N	201,131,112	#c98370
ATP-synt_E	208,138,118	#d08a76
ATP-synt_E_2	226,143,120	#e28f78
ATP-synt_Eps	144,66,44	#90422c
ATP-synt_F	220,101,68	#dc6544
ATP-synt_F6	220,109,79	#dc6d4f
ATP-synt_G	152,91,74	#985b4a
ATP-synt_I	119,209,156	#77d19c
ATP-synt_J	165,102,84	#a56654
ATP-synt_S1	198,128,93	#c6805d
ATP-synt_VA_C	203,132,112	#cb8470
ATP-synt_Z	157,98,82	#9d6252
ATP-synt_ab	99,184,207	#63b8cf
ATP-synt_ab_C	213,133,111	#d5856f
ATP-synt_ab_N	132,161,90	#84a15a
ATP-synt_ab_Xtn	94,67,223	#5e43df
ATP11	140,87,72	#8c5748
ATP12	200,95,67	#c85f43
ATP13	211,103,73	#d36749
ATP19	222,137,113	#de8971
ATP1G1_PLM_MAT8	165,98,80	#a56250
ATPD_C_fung	107,182,68	#6bb644
ATPD_C_metazoa	87,126,66	#577e42
ATPTG10	139,72,53	#8b4835
ATP_Ca_trans_C	149,98,84	#956254
ATP_bind_1	87,183,209	#57b7d1
ATP_bind_2	173,216,106	#add86a
ATP_bind_3	125,68,174	#7d44ae
ATP_sub_h	200,91,61	#c85b3d
ATP_synt_H	153,93,76	#995d4c
ATP_synth_reg	147,95,81	#935f51
ATP_transf	72,170,125	#48aa7d
ATPase	68,144,164	#4490a4
ATPase-cat_bd	92,103,169	#5c67a9
ATPaseInh_sub_z	140,86,71	#8c5647
ATPase_2	107,196,220	#6bc4dc
ATPase_RavA_C	164,98,80	#a46250
ATPase_gene1	142,84,68	#8e5444
ATPgraspMvdD	134,63,76	#863f4c
ATPgrasp_N	223,144,122	#df907a
ATPgrasp_ST	129,41,110	#81296e
ATPgrasp_Ter	191,58,162	#bf3aa2
ATPgrasp_TupA	207,64,176	#cf40b0
ATPgrasp_YheCD	127,36,107	#7f246b
ATR13	216,97,64	#d86140
ATR1_N	209,103,74	#d1674a
ATR1_WY-dom	159,105,90	#9f695a
ATS	161,98,81	#a16251
ATS3	85,137,95	#55895f
ATV_ORF273	209,108,80	#d16c50
ATXN-1_C	207,106,78	#cf6a4e
ATX_III	156,79,57	#9c4f39
AT_hook	157,93,76	#9d5d4c
AUDH_Cupin	70,106,175	#466aaf
AUDH_beta_propeller	151,85,107	#97556b
AUX_IAA	137,82,163	#8952a3
